Timestamp,What is your Gender?,Where are you from?,Suppose you want to go on a tour with your friend and you hardly get this opportunity. But your midterm exam is nearby. How would your parents react to your plan?,"If your result is not up to the mark, how would your parents react ?","Suppose your parents asked you to do something immediately. But for some reason, you wanted to do it later. Your parents - ","If you behave harshly with your parents for any reason, how would your parents react?",Suppose you made a decision all by yourself. And somehow it didn’t match with your parent’s decision. How would your parents react?,Label
12/30/2021 20:49:23,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents won’t care about your results,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents would listen to your decision and give a feedback,0
12/30/2021 20:49:46,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 20:50:23,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 20:51:47,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would directly listen to your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 20:56:07,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents won’t care about your results,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:15:03,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,Your parents would not care if you are doing it immediately or later,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:22:41,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would directly listen to your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 21:26:55,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:32:13,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 21:34:00,Male,Khulna,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:39:45,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:40:46,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:40:56,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,Would not listen to you and make you do the work immediately,They would not react at that time but they would ask you about the reason of your behavior later,Your parents can’t put enough faith in your decision,0
12/30/2021 21:43:46,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,1
12/30/2021 21:44:17,Female,Dhaka,Your parents would give you permission without asking any question,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 21:54:11,Female,Rangpur,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 21:58:50,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,1
12/30/2021 22:01:13,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 22:02:02,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:03:12,Male,Dhaka,Your parents would give you permission without asking any question,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:08:50,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:09:12,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 22:13:35,Female,Sylhet,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:14:34,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would be happy with your result,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 22:14:43,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:15:41,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would be happy with your result,They would consider your opinion,They would ignore this behavior of yours,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:18:24,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents won’t care about your results,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would agree with your decision without any comment,0
12/30/2021 22:22:39,Female,Rangpur,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:23:45,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents won’t care about your results,Your parents would not care if you are doing it immediately or later,They would ignore this behavior of yours,Your parents would listen to your decision and give a feedback,3
12/30/2021 22:24:56,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,1
12/30/2021 22:27:58,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:33:37,Male,Barishal,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would directly listen to your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,You don’t have to tell  your parents about your decision at all,1
12/30/2021 22:33:44,Male,Rangpur,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,0
12/30/2021 22:36:43,Male,Chattogram,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would agree with your decision without any comment,1
12/30/2021 22:39:15,Male,Sylhet,Your parents would give you permission without asking any question,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They would ignore this behavior of yours,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:40:25,Female,Barishal,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:41:01,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:42:52,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:47:26,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:50:18,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 22:57:37,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:01:24,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents can’t put enough faith in your decision,1
12/30/2021 23:02:20,Female,Mymensingh,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:02:40,Male,Dhaka,You don’t need to take permission,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:05:13,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:05:38,Male,Chattogram,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:05:59,Male,Sylhet,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:07:25,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents won’t care about your results,They would consider your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/30/2021 23:09:11,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,1
12/30/2021 23:11:53,Male,Khulna,Your parents would reject you without even hearing your point,Your parents won’t care about your results,They would directly listen to your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,0
12/30/2021 23:12:26,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents won’t care about your results,They would directly listen to your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,2
12/30/2021 23:14:44,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,0
12/30/2021 23:15:44,Female,Khulna,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would directly listen to your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:16:48,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:21:21,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,0
12/30/2021 23:26:42,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would directly listen to your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would agree with your decision without any comment,2
12/30/2021 23:29:56,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,0
12/30/2021 23:30:25,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:31:15,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,Your parents would not care if you are doing it immediately or later,They would ignore this behavior of yours,You don’t have to tell  your parents about your decision at all,3
12/30/2021 23:32:08,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:34:37,Male,Chattogram,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would directly listen to your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:38:14,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:39:58,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They would ignore this behavior of yours,Your parents can’t put enough faith in your decision,0
12/30/2021 23:40:11,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:43:01,Female,Dhaka,Your parents would give you permission without asking any question,Your parents would be happy with your result,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:43:23,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/30/2021 23:45:07,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:06:03,Male,Rangpur,You don’t need to take permission,Your parents would encourage you for future exams,Your parents would not care if you are doing it immediately or later,They would ignore this behavior of yours,Your parents would listen to your decision and give a feedback,3
12/31/2021 0:07:32,Male,Mymensingh,You don’t need to take permission,Your parents won’t care about your results,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,You don’t have to tell  your parents about your decision at all,3
12/31/2021 0:11:15,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents would listen to your decision and give a feedback,0
12/31/2021 0:11:35,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 0:12:41,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 0:16:45,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:16:56,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,Your parents would not care if you are doing it immediately or later,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:19:51,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,Your parents would not care if you are doing it immediately or later,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:22:40,Female,Dhaka,Your parents would give you permission without asking any question,Your parents would scream on you,Your parents would not care if you are doing it immediately or later,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,2
12/31/2021 0:23:43,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:23:59,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:26:44,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 0:32:53,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,0
12/31/2021 0:39:38,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:39:49,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:48:13,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 0:56:15,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 1:02:30,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 1:05:25,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents can’t put enough faith in your decision,0
12/31/2021 1:24:22,Female,Barishal,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately.,They would ignore this behavior of yours,Your parents can’t put enough faith in your decision,0
12/31/2021 1:30:52,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would be happy with your result,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 1:47:13,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 1:51:12,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 2:25:58,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 3:19:22,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 4:36:08,Male,Khulna,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,0
12/31/2021 4:42:10,Male,Rajshahi,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,Your parents would not care if you are doing it immediately or later,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 7:03:52,Male,Mymensingh,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 7:57:24,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,1
12/31/2021 8:26:01,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 9:24:28,Female,Khulna,You don’t need to take permission,Your parents won’t care about your results,Your parents would not care if you are doing it immediately or later,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,3
12/31/2021 9:53:02,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,They would not react at that time but they would ask you about the reason of your behavior later,Your parents can’t put enough faith in your decision,0
12/31/2021 10:09:01,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 10:27:20,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 11:14:48,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 11:28:27,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They would ignore this behavior of yours,Your parents would listen to your decision and give a feedback,1
12/31/2021 11:31:19,Male,Dhaka,Your parents would give you permission without asking any question,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 11:58:16,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 12:49:38,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 13:24:56,Female,Chattogram,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 13:42:28,Male,Dhaka,Your parents would give you permission without asking any question,Your parents would be happy with your result,Would not listen to you and make you do the work immediately,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,2
12/31/2021 13:55:14,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 14:02:47,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 14:15:14,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,They would directly listen to your opinion,Your parents would punish you,Your parents would listen to your decision and give a feedback,0
12/31/2021 14:22:43,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,Would not listen to you and make you do the work immediately,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 14:27:04,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents can’t put enough faith in your decision,0
12/31/2021 14:33:48,Female,Khulna,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 14:44:17,Male,Dhaka,Your parents would give you permission without asking any question,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 15:03:56,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,Your parents would punish you,Your parents can’t put enough faith in your decision,0
12/31/2021 15:22:23,Female,Rangpur,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 15:36:13,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 15:37:20,Male,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 15:45:51,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 16:07:48,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 16:12:01,Female,Dhaka,Your parents would reject you without even hearing your point,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 16:12:55,Male,Dhaka,Your parents would give you permission without asking any question,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 16:19:49,Female,Rangpur,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would directly listen to your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 16:23:10,Female,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 17:01:31,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,Would not listen to you and make you do the work immediately,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 17:54:54,Male,Dhaka,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They would not react at that time but they would ask you about the reason of your behavior later,Your parents would listen to your decision and give a feedback,1
12/31/2021 18:48:25,Female,Khulna,Your parent would let you negotiate after giving their opinion,Your parents would encourage you for future exams,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 19:26:42,Female,Chattogram,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
12/31/2021 19:46:31,Female,Chattogram,Your parent would let you negotiate after giving their opinion,Your parents would scream on you,They would consider your opinion,They will try to make you understand how did they feel about your behavior and you should not behave like this,Your parents would listen to your decision and give a feedback,1
